#TEXT,TEXT,TEXT
id,chinese,english
name_20012_suipian_xiyiren4,火蜥蜴人碎片,xiyiren4suipian
name_20013_suipian_mantuoluo2,苗娃曼陀罗碎片,Mandrake Fragment
name_20014_suipian_hetong3,水河童碎片,hetong3suipian
name_20015_suipian_longgongtongzi3,水龙宫童子碎片,longgongtongzi3suipian
name_20016_suipian_xiyiren2,木蜥蜴人碎片,xiyiren2suipian
name_20017_suipian_langren5,暗狼人碎片,langren5suipian
name_20018_suipian_langren3,狼人碎片,Werewolf Fragment
name_20019_suipian_shuigui3,水水鬼碎片,shuigui3suipian
name_20020_suipian_nvyao5,暗女妖碎片,nvyao5suipian
name_20021_suipian_hapi1,光哈皮碎片,hapi1suipian
name_20022_suipian_piying5,暗皮影碎片,piying5suipian
name_20023_suipian_kairuisi5,暗凯瑞斯碎片,kairuisi5suipian
name_20024_suipian_bingxuenvwang3,冰雪女王碎片,Chione Fragment
name_20025_suipian_wendige3,水温迪戈碎片,wendige3suipian
name_20026_suipian_wendige2,木温迪戈碎片,wendige2suipian
name_20027_suipian_longnv3,水龙女碎片,longnv3suipian
name_20028_suipian_momo1,光得莫非碎片,momo1suipian
name_20029_suipian_amute3,水阿姆特碎片,amute3suipian
name_20030_suipian_luoxinfu5,暗落新妇碎片,luoxinfu5suipian
name_20031_suipian_saibulesi5,暗赛布勒斯碎片,saibulesi5suipian
name_20032_suipian_hongniu4,火红牛碎片,hongniu4suipian
name_20033_suipian_anpusha5,暗安普沙碎片,anpusha5suipian
name_20034_suipian_daochengsizhong4,火道成寺钟碎片,daochengsizhong4suipian
name_20035_suipian_huoniao4,火鸟碎片,huoniao4suipian
name_20036_suipian_ifrit4,火伊芙利特碎片,ifrit4suipian
name_20037_suipian_moguguai4,火蘑菇怪碎片,moguguai4suipian
name_20038_suipian_tianshizhang4,火天使长碎片,tianshizhang4suipian
name_20039_suipian_xiaochou2,木小丑碎片,xiaochou2suipian
name_20040_suipian_saibulesi4,火赛布勒斯碎片,saibulesi4suipian
name_30011_BloodStone_1,一级血魄石,Blood Stone(LV1)
name_30012_BloodStone_2,二级血魄石,Blood Stone(LV2)
name_30013_BloodStone_3,三级血魄石,Blood Stone(LV3)
name_30014_BloodStone_4,四级血魄石,Blood Stone(LV4)
name_30015_BloodStone_5,五级血魄石,Blood Stone(LV5)
name_30016_BloodStone_6,六级血魄石,Blood Stone(LV6)
name_30021_SageStone_1,一级琥珀石,Sage Stone(LV1)
name_30022_SageStone_2,二级琥珀石,Sage Stone(LV2)
name_30023_SageStone_3,三级琥珀石,Sage Stone(LV3)
name_30024_SageStone_4,四级琥珀石,Sage Stone(LV4)
name_30025_SageStone_5,五级琥珀石,Sage Stone(LV5)
name_30026_SageStone_6,六级琥珀石,Sage Stone(LV6)
name_30031_VitalityStone_1,一级锆石,Vitality Stone(LV1)
name_30032_VitalityStone_2,二级锆石,Vitality Stone(LV2)
name_30033_VitalityStone_3,三级锆石,Vitality Stone(LV3)
name_30034_VitalityStone_4,四级锆石,Vitality Stone(LV4)
name_30035_VitalityStone_5,五级锆石,Vitality Stone(LV5)
name_30036_VitalityStone_6,六级锆石,Vitality Stone(LV6)
name_30041_BastionStone_1,一级天青石,Bastion Stone(LV1)
name_30042_BastionStone_2,二级天青石,Bastion Stone(LV2)
name_30043_BastionStone_3,三级天青石,Bastion Stone(LV3)
name_30044_BastionStone_4,四级天青石,Bastion Stone(LV4)
name_30045_BastionStone_5,五级天青石,Bastion Stone(LV5)
name_30046_BastionStone_6,六级天青石,Bastion Stone(LV6)
name_30051_HasteStone_1,一级灰石,Haste Stone(LV1)
name_30052_HasteStone_2,二级灰石,Haste Stone(LV2)
name_30053_HasteStone_3,三级灰石,Haste Stone(LV3)
name_30054_HasteStone_4,四级灰石,Haste Stone(LV4)
name_30055_HasteStone_5,五级灰石,Haste Stone(LV5)
name_30056_HasteStone_6,六级灰石,Haste Stone(LV6)
name_30061_MendingStone_1,一级绿叶石,Mending Stone(LV1)
name_30062_MendingStone_2,二级绿叶石,Mending Stone(LV2)
name_30063_MendingStone_3,三级绿叶石,Mending Stone(LV3)
name_30064_MendingStone_4,四级绿叶石,Mending Stone(LV4)
name_30065_MendingStone_5,五级绿叶石,Mending Stone(LV5)
name_30066_MendingStone_6,六级绿叶石,Mending Stone(LV6)
name_30071_VolatileStone_1,一级恶魔石,Volatile Stone(LV1)
name_30072_VolatileStone_2,二级恶魔石,Volatile Stone(LV2)
name_30073_VolatileStone_3,三级恶魔石,Volatile Stone(LV3)
name_30074_VolatileStone_4,四级恶魔石,Volatile Stone(LV4)
name_30075_VolatileStone_5,五级恶魔石,Volatile Stone(LV5)
name_30076_VolatileStone_6,六级恶魔石,Volatile Stone(LV6)
name_30081_SourceStone_1,一级能量,Source Stone(LV1)
name_30082_SourceStone_2,二级能量,Source Stone(LV2)
name_30083_SourceStone_3,三级能量,Source Stone(LV3)
name_30084_SourceStone_4,四级能量,Source Stone(LV4)
name_30085_SourceStone_5,五级能量,Source Stone(LV5)
name_30086_SourceStone_6,六级能量,Source Stone(LV6)
name_30091_MorbidStone_1,一级太阳石,Morbid Stone(LV1)
name_30092_MorbidStone_2,二级太阳石,Morbid Stone(LV2)
name_30093_MorbidStone_3,三级太阳石,Morbid Stone(LV3)
name_30094_MorbidStone_4,四级太阳石,Morbid Stone(LV4)
name_30095_MorbidStone_5,五级太阳石,Morbid Stone(LV5)
name_30096_MorbidStone_6,六级太阳石,Morbid Stone(LV6)
name_40001_baoxiang1,木质宝箱,Wood Treasurecase
name_40002_baoxiang2,铁质宝箱,Iron Treasurecase
name_40003_baoxiang3,白银宝箱,Silver Treasurecase
name_40004_baoxiang4,黄金宝箱,Gold Treasurecase
name_40005_bigTaskleader201,队长礼包,Team Leader Gift
name_40006_bigTaskleader301,队长礼包,Team Leader Gift
name_40007_bigTaskleader401,队长礼包,Team Leader Gift
name_40008_bigTaskleader202,队长礼包,Team Leader Gift
name_40009_bigTaskleader302,队长礼包,Team Leader Gift
name_40010_bigTaskleader402,队长礼包,Team Leader Gift
name_50001_jingyanyaoshui,经验药水,expMedicine
name_50002_chujichongwujingyanyaoshui,初级宠物经验药水,primaryexpMedicine
name_50003_zhongjichongwujingyanyaoshui,中级宠物经验药水,mediumexpMedicine
name_50004_gaojichongwujingyanyaoshui,高级宠物经验药水,seniorexpMedicine
name_50005_chujipilaoyaoshui,活力饼干小,Energy Cookies(Small)
name_50006_zhongjipilaoyaoshui,活力饼干中,Energy Cookies(Medium)
name_50007_gaojipilaoyaoshui,活力饼干大,Energy Cookies(Large)
name_50008_shuangbeijingyanyao,双倍经验药,doubleExpMedicine
name_50009_sanbeijingyanyao,三倍经验药,tribleExpMedicine
name_70001_fangyuxingwuqi,防御型武器,weapon1
name_70002_fangyuxinghujia,防御型护甲,belt1
name_70003_fangyuxingtoukui,防御型头盔,armor1
name_70004_fangyuxinghuwan,防御型护腕,bracelet1
name_70005_fangyuxingjiezhi,防御型戒指,ring1
name_70006_fangyuxingshipin,防御型饰品,amulet1
name_70007_wulixingwuqi,物理型武器,weapon2
name_70008_wulixinghujia,物理型护甲,belt2
name_70009_wulixingtoukui,物理型头盔,armor2
name_70010_wulixinghuwan,物理型护腕,bracelet2
name_70011_wulixingjiezhi,物理型戒指,ring2
name_70012_wulixingshipin,物理型饰品,amulet2
name_70013_fashuxingwuqi,法术型武器,weapon3
name_70014_fashuxinghujia,法术型护甲,belt3
name_70015_fashuxingtoukui,法术型头盔,armor3
name_70016_fashuxinghuwan,法术型护腕,bracelet3
name_70017_fashuxingjiezhi,法术型戒指,ring3
name_70018_fashuxingshipin,法术型饰品,amulet3
name_70019_zhiyuanxingwuqi,支援型武器,weapon4
name_70020_zhiyuanxinghujia,支援型护甲,belt4
name_70021_zhiyuanxingtoukui,支援型头盔,armor4
name_70022_zhiyuanxinghuwan,支援型护腕,bracelet4
name_70023_zhiyuanxingjiezhi,支援型戒指,ring4
name_70024_zhiyuanxingshipin,支援型饰品,amulet4
name_101,武器,weapon
name_102,护甲,belt
name_103,头盔,armor
name_104,护腕,bracelet
name_105,戒指,ring
name_106,饰品,amulet
tips_11Gmjian,佳沛出品,made by jiapei
tips_10001_yaoshi,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_10002_wuming,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_10003_duihuanquan,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_10004_chujiqianghuacailiao,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_11001_chujizhuangbeiqianghuashi,用于低品质装备打造,For low-quality equipment to forge.
tips_11002_zhongjizhuangbeiqianghuashi,用于中品质装备打造,For medium-quality equipment to forge.
tips_11003_gaojizhuangbeiqianghuashi,用于高品质装备打造,For high-quality equipment to forge.
tips_10005_zhuangbeijinjieshi,用于装备强化打造,For equipment to advance.
tips_10006_zhuangbeijinjiecailiao2,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_10007_baoshikaikongcailiao,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_10008_zhuangbeijinjiecailiao2chip,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_10009_baoxiangyaoshi1,开启木质宝箱所需要的钥匙,The key to open the Wood Treasurecase
tips_10010_baoxiangyaoshi2,开启铁质宝箱所需要的钥匙,The key to open the Iron Treasurecase
tips_10011_baoxiangyaoshi3,开启白银宝箱所需要的钥匙,The key to open the Silver Treasurecase
tips_10012_baoxiangyaoshi4,开启黄金宝箱所需要的钥匙,The key to open the Gold Treasurecase
tips_10013_yibanlaji1,还是拿去换钱好些,Might be a good idea to sell this one…
tips_10014_yibanlaji2,还是拿去换钱好些,Might be a good idea to sell this one…
tips_10015_yibanlaji3,还是拿去换钱好些,Might be a good idea to sell this one…
tips_10016_chongwuqianghuashi,宠物强化材料,Monster upgrade material.
tips_10017_chongwujinjieshi,宠物进阶材料,Monster advancement material.
tips_20001_suipian_common,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20002_suipian_xiaochou3,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20003_suipian_kairuisi4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20004_suipian_hetong2,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20005_suipian_wagui3,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20006_suipian_xiaochou4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20007_suipian_cike4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20008_suipian_panshen2,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20009_suipian_huapo2,用于合成木属性花魄,To combine Grass Flower Pixie
tips_20010_suipian_wushi3,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20011_suipian_wushi4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20012_suipian_xiyiren4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20013_suipian_mantuoluo2,用于合成木属性苗娃曼陀罗,To combine Grass Mandrake
tips_20014_suipian_hetong3,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20015_suipian_longgongtongzi3,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20016_suipian_xiyiren2,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20017_suipian_langren5,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20018_suipian_langren3,用于合成水属性狼人,To combine Water Werewolf
tips_20019_suipian_shuigui3,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20020_suipian_nvyao5,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20021_suipian_hapi1,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20022_suipian_piying5,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20023_suipian_kairuisi5,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20024_suipian_bingxuenvwang3,用于合成水属性冰雪女王,To combine Water Chione
tips_20025_suipian_wendige3,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20026_suipian_wendige2,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20027_suipian_longnv3,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20028_suipian_momo1,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20029_suipian_amute3,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20030_suipian_luoxinfu5,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20031_suipian_saibulesi5,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20032_suipian_hongniu4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20033_suipian_anpusha5,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20034_suipian_daochengsizhong4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20035_suipian_huoniao4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20036_suipian_ifrit4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20037_suipian_moguguai4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20038_suipian_tianshizhang4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20039_suipian_xiaochou2,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_20040_suipian_saibulesi4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30011_BloodStone_1,镶嵌在装备上可获得：体力 + 10,insert the gem into a equipment available ：STA + 10
tips_30012_BloodStone_2,镶嵌在装备上可获得：体力 + 20,insert the gem into a equipment available ：STA + 20
tips_30013_BloodStone_3,镶嵌在装备上可获得：体力 + 40,insert the gem into a equipment available ：STA + 40
tips_30014_BloodStone_4,镶嵌在装备上可获得：体力 + 70,insert the gem into a equipment available ：STA + 70
tips_30015_BloodStone_5,镶嵌在装备上可获得：体力 + 100,insert the gem into a equipment available ：STA + 100
tips_30016_BloodStone_6,镶嵌在装备上可获得：体力 + 150,insert the gem into a equipment available ：STA + 150
tips_30021_SageStone_1,镶嵌在装备上可获得：智力 + 10,insert the gem into a equipment available ：INT + 10
tips_30022_SageStone_2,镶嵌在装备上可获得：智力 + 20,insert the gem into a equipment available ：INT + 20
tips_30023_SageStone_3,镶嵌在装备上可获得：智力 + 40,insert the gem into a equipment available ：INT + 40
tips_30024_SageStone_4,镶嵌在装备上可获得：智力 + 70,insert the gem into a equipment available ：INT + 70
tips_30025_SageStone_5,镶嵌在装备上可获得：智力 + 100,insert the gem into a equipment available ：INT + 100
tips_30026_SageStone_6,镶嵌在装备上可获得：智力 + 150,insert the gem into a equipment available ：INT + 150
tips_30031_VitalityStone_1,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30032_VitalityStone_2,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30033_VitalityStone_3,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30034_VitalityStone_4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30035_VitalityStone_5,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30036_VitalityStone_6,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30041_BastionStone_1,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30042_BastionStone_2,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30043_BastionStone_3,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30044_BastionStone_4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30045_BastionStone_5,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30046_BastionStone_6,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30051_HasteStone_1,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30052_HasteStone_2,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30053_HasteStone_3,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30054_HasteStone_4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30055_HasteStone_5,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30056_HasteStone_6,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30061_MendingStone_1,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30062_MendingStone_2,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30063_MendingStone_3,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30064_MendingStone_4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30065_MendingStone_5,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30066_MendingStone_6,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30071_VolatileStone_1,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30072_VolatileStone_2,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30073_VolatileStone_3,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30074_VolatileStone_4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30075_VolatileStone_5,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30076_VolatileStone_6,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30081_SourceStone_1,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30082_SourceStone_2,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30083_SourceStone_3,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30084_SourceStone_4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30085_SourceStone_5,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30086_SourceStone_6,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30091_MorbidStone_1,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30092_MorbidStone_2,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30093_MorbidStone_3,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30094_MorbidStone_4,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30095_MorbidStone_5,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
tips_30096_MorbidStone_6,测试用tips,test Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.Open Sockets: Reveals a Gem slot after opening.
