#TEXT,TEXT,NUM,NUM,NUM,FLOAT,FLOAT,NUM,NUM,NUM,NUM,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,NUM,NUM,NUM
id,name,isDamagePoint,health,isTarget,damageRate1,damageRate2,property1,property2,stat1WpType,stat2WpType,node,boxColliders,findWpEffect,appraisalStateEffect,stateparam0,state0Tips,state0Icon,stateparam1,state1Tips,state1Icon,stateparam2,state2Tips,state2Icon,stateparam3,stateparam4,state4Tips,initialStatus,scaleX,scaleY
bossdajie14Piying5wp02,wpName41,0,500,2,1,1,-1,-1,1,,wp_lbody,"[""ruodian02_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_lbody"",""effect"":""""}",piying5hide_lbody,Piying5_shou1_d,"{""mesh"":""mesh_lbody"",""effect"":""""}",piying5normal1_lbody,Piying5_shou1,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,-1,1
bossdajie14Piying5wp03,wpName42,0,500,2,1,1,-1,-1,1,,wp_rbody,"[""ruodian03_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_rbody"",""effect"":""""}",piying5hide_rbody,Piying5_shou1_d,"{""mesh"":""mesh_rbody"",""effect"":""""}",piying5normal1_rbody,Piying5_shou1,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bossdajie14Piying5wp04,wpName43,1,9999999,0,2,2,-1,-1,3,,wp_head,"[""ruodian04_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_head"",""effect"":""""}",piying5hide_head,Piying5_tou_d,"{""mesh"":""mesh_head"",""effect"":""""}",piying5normal1_head,Piying5_tou,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_head"",""effect"":""""}",dead wp,0,1,1
bossdajie15Langren3wp01,wpName37,1,9999999,3,1,1,-1,-1,5,,wp_body,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_body"",""effect"":""""}",,Langren3_tou_d,"{""mesh"":""mesh_body"",""effect"":""""}",langren3normal1_body,Langren3_tou,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_body"",""effect"":""""}",dead wp,1,1,1
bossdajie15Langren3wp02,wpName38,0,150,2,1,1,-1,-1,0,,wp_lcuff,"[""ruodian02_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_lcuff"",""effect"":""""}",langren3hide_lcuff,Langren3_shou1_d,"{""mesh"":""mesh_lcuff"",""effect"":""""}",langren3normal1_lcuff,Langren3_shou1,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,-1,1
bossdajie15Langren3wp03,wpName39,0,150,2,1,1,-1,-1,0,,wp_rcuff,"[""ruodian03_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_rcuff"",""effect"":""""}",langren3hide_rcuff,Langren3_shou1_d,"{""mesh"":""mesh_rcuff"",""effect"":""""}",langren3normal1_rcuff,Langren3_shou1,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bossdajie16Zouyincao2wp01,wpName48,1,9999999,3,1,1,-1,-1,5,,wp_body,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_body"",""effect"":""""}",,Zouyincao2_xiong_d,"{""mesh"":""mesh_body"",""effect"":""""}",zouyincao2normal1_body,Zouyincao2_xiong,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_body"",""effect"":""""}",dead wp,1,1,1
bossdajie16Zouyincao2wp02,wpName49,0,3000,2,1,1,-1,-1,0,,wp_trumpet,"[""ruodian02_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_trumpet"",""effect"":""""}",zouyincao2hide_trumpet,Zouyincao2_laba_d,"{""mesh"":""mesh_trumpet"",""effect"":""""}",zouyincao2normal1_trumpet,Zouyincao2_laba,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bossdajie17Huapo2wp01,wpName44,1,9999999,3,1,1,-1,-1,5,,wp_body,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_body"",""effect"":""""}",,Huapo2_xiong_d,"{""mesh"":""mesh_body"",""effect"":""""}",huapo2normal1_body,Huapo2_xiong,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_body"",""effect"":""""}",dead wp,1,1,1
bossdajie17Huapo2wp02,wpName45,0,3000,2,1,1,-1,-1,0,,wp_flower,"[""ruodian02_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_flower"",""effect"":""""}",huapo2hide_flower,Huapo2_hua_d,"{""mesh"":""mesh_flower"",""effect"":""""}",huapo2normal1_flower,Huapo2_hua,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bossdajie16Xiaochou3wp01,wpName46,1,9999999,3,1,1,-1,-1,5,,wp_body,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_body"",""effect"":""""}",,Xiaochou3_xiong_d,"{""mesh"":""mesh_body"",""effect"":""""}",xiaochou3normal1_body,Xiaochou3_xiong,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_body"",""effect"":""""}",dead wp,1,1,1
bossdajie16Xiaochou3wp02,wpName47,0,1800,2,1,1,-1,-1,0,,wp_weapon,"[""ruodian02_box1"",""ruodian02_box2""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_weapon"",""effect"":""""}",xiaochou3hide_weapon,Xiaochou3_shou_d,"{""mesh"":""mesh_weapon"",""effect"":""""}",xiaochou3normal1_weapon,Xiaochou3_shou,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bossxiaoxiang21Wushi4wp01,wpName50,1,9999999,3,1,1,-1,-1,5,,wp_body,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_body"",""effect"":""""}",,,"{""mesh"":""mesh_body"",""effect"":""""}",wushi4normal1_body,Wushi4_xiong,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_body"",""effect"":""""}",dead wp,1,1,1
bossxiaoxiang21Wushi4wp02,wpName51,1,9999999,0,1.5,1.5,-1,-1,3,,wp_horn,"[""ruodian02_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_horn"",""effect"":""""}",wushi4hide_horn,Wushi4_tou_d,"{""mesh"":""mesh_horn"",""effect"":""""}",wushi4normal1_horn,Wushi4_tou,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_horn"",""effect"":""""}",dead wp,0,1,1
bossxiaoxiang21Wushi4wp03,wpName52,0,3000,2,1,1,-1,-1,0,,wp_ball,"[""ruodian03_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_ball"",""effect"":""""}",wushi4hide_ball,Wushi4_wuqi_d,"{""mesh"":""mesh_ball"",""effect"":""""}",wushi4normal1_ball,Wushi4_wuqi,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bossxiaoxiang22Xiyiren2wp01,wpName53,1,9999999,3,1,1,-1,-1,5,,wp_body,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_body"",""effect"":""""}",,,"{""mesh"":""mesh_body"",""effect"":""""}",xiyiren2normal1_body,Xiyiren2_xiong,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_body"",""effect"":""""}",dead wp,1,1,1
bossxiaoxiang22Xiyiren2wp02,wpName54,1,9999999,0,4,4,-1,-1,3,,wp_rhand,"[""ruodian02_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_rhand"",""effect"":""""}",xiyiren2hide_hand,Xiyiren2_shou_d,,xiyiren2normal1_hand,Xiyiren2_shou,,normal1Tips31,RuodianIcon_hide,,,dead wp,3,1,1
bossxiaoxiang22Xiyiren2wp03,wpName55,0,3000,2,1,1,-1,-1,2,,wp_claw,"[""ruodian03_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_claw"",""effect"":""""}",xiyiren2hide_claw,Xiyiren2_zhua_d,"{""mesh"":""mesh_claw"",""effect"":""""}",xiyiren2normal1_claw,Xiyiren2_zhua,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bossxiaoxiang23Panshen2wp01,wpName56,1,9999999,3,1,1,-1,-1,5,,wp_body,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_body"",""effect"":""""}",,,"{""mesh"":""mesh_body"",""effect"":""""}",panshen2normal1_body,Panshen2_xiong,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_body"",""effect"":""""}",dead wp,1,1,1
bossxiaoxiang23Panshen2wp02,wpName57,1,9999999,0,3,3,-1,-1,3,,wp_flower,"[""ruodian02_box1""]",ruodian_jiandingzhong,ruodian,,panshen2hide_eye,RuodianIcon_hide,"{""mesh"":""mesh_flower"",""effect"":""""}",panshen2normal1_eye,Panshen2_hua,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bossxiaoxiang24Shuigui3wp01,wpName58,1,9999999,3,1,1,-1,-1,5,,wp_body,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_body"",""effect"":""""}",,Piying5_tou_d,"{""mesh"":""mesh_body"",""effect"":""""}",shuigui3normal1_body,Shuigui3_xiong,,normal1Tips31,xiong,,"{""mesh"":""mesh_body"",""effect"":""""}",dead wp,1,1,1
bossxiaoxiang24Shuigui3wp02,wpName59,0,2500,2,1,1,-1,-1,1,,wp_box,"[""ruodian02_box1""]",ruodian_jiandingzhong,ruodian,,shuigui3hide_box,RuodianIcon_hide,"{""mesh"":""mesh_box"",""effect"":""""}",shuigui3normal1_box,Shuigui3_baoxiang,,normal1Tips31,baoxiang,,,dead wp,0,1,1
bossxiaoxiang24Shuigui3wp03,wpName60,1,9999999,0,3,3,-1,-1,3,,wp_rleg,"[""ruodian03_box1""]",ruodian_jiandingzhong,ruodian,,shuigui3hide_rfoot,Shuigui3_jiao_d,,shuigui3normal1_rfoot,Shuigui3_jiao,,normal1Tips31,jiao,,,dead wp,3,1,1
bossxiaoxiang24Shuigui3wp04,wpName61,0,3500,2,1,1,-1,-1,2,,wp_bird,"[""ruodian04_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_bird"",""effect"":""""}",shuigui3hide_bird,Shuigui3_wuya_d,"{""mesh"":""mesh_bird"",""effect"":""""}",shuigui3normal1_bird,Shuigui3_wuya,,normal1Tips31,niao,,,dead wp,0,1,1
bossxiaoxiang25Kairuisi5wp01,wpName62,1,9999999,3,1,1,-1,-1,5,,wp_body,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_body"",""effect"":""""}",,,"{""mesh"":""mesh_body"",""effect"":""""}",kairuisi5normal1_body,Kairuisi5_xiong,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_body"",""effect"":""""}",dead wp,1,1,1
bossxiaoxiang25Kairuisi5wp02,wpName63,1,9999999,0,1.5,1.5,-1,-1,3,,wp_head,"[""ruodian02_box1""]",ruodian_jiandingzhong,ruodian,,kairuisi5hide_head,Kairuisi5_tou_d,,kairuisi5normal1_head,Kairuisi5_tou,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bossxiaoxiang25Kairuisi5wp03,wpName64,0,3500,2,1,1,-1,-1,0,,wp_weapon,"[""ruodian03_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_weapon"",""effect"":""""}",kairuisi5hide_weapon,Kairuisi5_wuqi_d,"{""mesh"":""mesh_weapon"",""effect"":""""}",kairuisi5normal1_weapon,Kairuisi5_wuqi,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bossxiaoxiang26Longgongtongzi3wp01,wpName65,1,9999999,3,1,1,-1,-1,5,,wp_body,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_body"",""effect"":""""}",,,"{""mesh"":""mesh_body"",""effect"":""""}",longgongtongzi3normal1_body,Longgongtongzi3_xiong,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_body"",""effect"":""""}",dead wp,1,1,1
bossxiaoxiang26Longgongtongzi3wp02,wpName66,1,9999999,0,2,2,-1,-1,3,,wp_head,"[""ruodian02_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_head"",""effect"":""""}",longgongtongzi3hide_head,Longgongtongzi3_tou_d,"{""mesh"":""mesh_head"",""effect"":""""}",longgongtongzi3normal1_head,Longgongtongzi3_tou,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_head"",""effect"":""""}",dead wp,0,1,1
bossxiaoxiang26Longgongtongzi3wp03,wpName67,0,3500,2,1,1,-1,-1,0,,wp_ball,"[""ruodian03_box1"",""ruodian03_box2""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_ball"",""effect"":""""}",longgongtongzi3hide_ball,Longgongtongzi3_qiu_d,"{""mesh"":""mesh_ball"",""effect"":""""}",longgongtongzi3normal1_ball,Longgongtongzi3_qiu,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bossxiaoxiang27Hetong2wp01,wpName68,1,9999999,3,1,1,-1,-1,5,,wp_head,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_head"",""effect"":""""}",,,"{""mesh"":""mesh_head"",""effect"":""""}",hetong2normal1_body,Hetong2_xiong,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_head"",""effect"":""""}",dead wp,1,1,1
bossxiaoxiang27Hetong2wp02,wpName69,1,9999999,0,2,2,-1,-1,3,,wp_skull,"[""ruodian02_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_head"",""effect"":""""}",hetong2hide_head,Hetong2_tou_d,"{""mesh"":""mesh_head"",""effect"":""""}",hetong2normal1_head,Hetong2_tou,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_head"",""effect"":""""}",dead wp,0,1,1
bossxiaoxiang27Hetong2wp03,wpName70,0,7000,0,1,1,-1,-1,0,,wp_scarf,"[""ruodian03_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_scarf"",""effect"":""""}",hetong2hide_scarf,Hetong2_weijin_d,"{""mesh"":""mesh_scarf"",""effect"":""""}",hetong2normal1_scarf,RuodianIcon_s,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bossxiaoxiang28Muling2wp01,wpName71,1,9999999,3,0.0001,1,-1,-1,4,,wp_body,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_body"",""effect"":""""}",,,"{""mesh"":""mesh_body"",""effect"":""""}",muling2normal1_body,Muling2_xiong,,normal1Tips31,RuodianIcon_hide,,"{""mesh"":""mesh_body"",""effect"":""""}",dead wp,1,1,1
bossxiaoxiang28Muling2wp02,wpName72,1,9999999,0,1,1,-1,-1,3,,wp_child3,"[""ruodian06_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_child1"",""effect"":""""}",,RuodianIcon_hide,"{""mesh"":""mesh_child1"",""effect"":""""}",muling2normal1_child1,Muling2_xiaoren,,normal1Tips31,RuodianIcon_hide,,,dead wp,3,1,1
bossxiaoxiang28Muling2wp03,wpName73,0,3000,2,1,1,-1,-1,2,,wp_hole1,"[""ruodian03_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_hole1"",""effect"":""""}",muling2hide_hole1,RuodianIcon_hide,"{""mesh"":""mesh_hole1"",""effect"":""""}",muling2normal1_hole1,Muling2_shudong,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bossxiaoxiang28Muling2wp04,wpName74,1,9999999,0,1,1,-1,-1,3,,wp_child1,"[""ruodian02_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_child2"",""effect"":""""}",,RuodianIcon_hide,"{""mesh"":""mesh_child2"",""effect"":""""}",muling2normal1_child2,Muling2_xiaoren,,normal1Tips31,RuodianIcon_hide,,,dead wp,3,1,1
bossxiaoxiang28Muling2wp05,wpName75,0,3000,2,1,1,-1,-1,2,,wp_hole2,"[""ruodian05_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_hole2"",""effect"":""""}",muling2hide_hole2,RuodianIcon_hide,"{""mesh"":""mesh_hole2"",""effect"":""""}",muling2normal1_hole2,Muling2_shudong,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bossxiaoxiang28Muling2wp06,wpName76,1,9999999,0,1,1,-1,-1,3,,wp_child2,"[""ruodian04_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_child3"",""effect"":""""}",,RuodianIcon_hide,"{""mesh"":""mesh_child3"",""effect"":""""}",muling2normal1_child3,Muling2_xiaoren,,normal1Tips31,RuodianIcon_hide,,,dead wp,3,1,1
bossxiaoxiang28Muling2wp07,wpName77,0,3000,2,1,1,-1,-1,2,,wp_hole3,"[""ruodian07_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_hole3"",""effect"":""""}",muling2hide_hole3,RuodianIcon_hide,"{""mesh"":""mesh_hole3"",""effect"":""""}",muling2normal1_hole3,Muling2_shudong,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bosssenlin31Wendige2wp01,bosssenlin31Wendige2wp01,1,9999999,3,1,1,-1,-1,5,,wp_body,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_body"",""effect"":""""}",,Wendige2_xiong_d,"{""mesh"":""mesh_body"",""effect"":""""}",wendige2normal1_body,Wendige2_xiong,,normal1Tips31,RuodianIcon_hide,,,dead wp,1,1,1
bosssenlin31Wendige2wp02,bosssenlin31Wendige2wp02,0,3000,2,1,1,-1,-1,0,,wp_lhorn,"[""ruodian02_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_lhorn"",""effect"":""""}",wendige2hide_lhorn,Wendige2_jiao_d,"{""mesh"":""mesh_lhorn"",""effect"":""""}",wendige2normal1_lhorn,Wendige2_jiao,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,-1,1
bosssenlin31Wendige2wp03,bosssenlin31Wendige2wp03,0,3000,2,1,1,-1,-1,0,,wp_rhorn,"[""ruodian03_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_rhorn"",""effect"":""""}",wendige2hide_rhorn,Wendige2_jiao_d,"{""mesh"":""mesh_rhorn"",""effect"":""""}",wendige2normal1_rhorn,Wendige2_jiao,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bosssenlin32Longnv3wp01,bosssenlin32Longnv3wp01,1,9999999,3,1,1,-1,-1,5,,wp_body,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_body"",""effect"":""""}",longnv3hide_body,Longnv3_xiong_d,"{""mesh"":""mesh_body"",""effect"":""""}",longnv3normal1_body,Longnv3_xiong,,normal1Tips31,RuodianIcon_hide,,,dead wp,1,1,1
bosssenlin32Longnv3wp02,bosssenlin32Longnv3wp02,1,3000,0,1.5,1,-1,-1,3,,wp_head,"[""ruodian02_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_head"",""effect"":""""}",longnv3hide_head,Longnv3_tou_d,"{""mesh"":""mesh_head"",""effect"":""""}",longnv3normal1_head,Longnv3_tou,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bosssenlin32Longnv3wp03,bosssenlin32Longnv3wp03,0,1,2,1,1,-1,-1,0,,wp_fuwen1,"[""ruodian03_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""wp_fuwen1"",""effect"":""""}",longnv3hide_lingyin1,RuodianIcon_hide,"{""mesh"":""wp_fuwen1"",""effect"":""""}",longnv3normal1_lingyin1,Longnv3_wuqi,,normal1Tips31,RuodianIcon_hide,,,dead wp,3,1,1
bosssenlin32Longnv3wp04,bosssenlin32Longnv3wp04,0,1,2,1,1,-1,-1,0,,wp_fuwen2,"[""ruodian04_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""wp_fuwen2"",""effect"":""""}",longnv3hide_lingyin2,RuodianIcon_hide,"{""mesh"":""wp_fuwen2"",""effect"":""""}",longnv3normal1_lingyin2,Longnv3_wuqi,,normal1Tips31,RuodianIcon_hide,,,dead wp,3,1,1
bosssenlin33Luoxinfu5wp01,bosssenlin33Luoxinfu5wp01,1,9999999,3,1,1,-1,-1,5,,wp_body,"[""ruodian01_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_body"",""effect"":""""}",luoxinfu5hide_body,Luoxinfu5_xiong_d,"{""mesh"":""mesh_body"",""effect"":""""}",luoxinfu5normal1_body,Luoxinfu5_xiong,,normal1Tips31,RuodianIcon_hide,,,dead wp,1,1,1
bosssenlin33Luoxinfu5wp02,bosssenlin33Luoxinfu5wp02,0,3000,2,1,1,-1,-1,0,,wp_leg6,"[""ruodian07_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_leg6"",""effect"":""""}",luoxinfu5hide_leg6,Luoxinfu5_jiao2_d,"{""mesh"":""mesh_leg6"",""effect"":""""}",luoxinfu5normal1_leg6,Luoxinfu5_jiao,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,-1,1
bosssenlin33Luoxinfu5wp03,bosssenlin33Luoxinfu5wp03,0,3000,2,1,1,-1,-1,0,,wp_leg5,"[""ruodian06_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_leg5"",""effect"":""""}",luoxinfu5hide_leg5,Luoxinfu5_jiao2_d,"{""mesh"":""mesh_leg5"",""effect"":""""}",luoxinfu5normal1_leg5,Luoxinfu5_jiao,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,1,1
bosssenlin33Luoxinfu5wp04,bosssenlin33Luoxinfu5wp04,0,3000,2,1,1,-1,-1,0,,wp_leg1,"[""ruodian02_box1""]",ruodian_jiandingzhong,ruodian,"{""mesh"":""mesh_leg1"",""effect"":""""}",luoxinfu5hide_leg1,Luoxinfu5_jiao1_d,"{""mesh"":""mesh_leg1"",""effect"":""""}",luoxinfu5normal1_leg1,Luoxinfu5_jiao1,,normal1Tips31,RuodianIcon_hide,,,dead wp,0,-1,1
