#TEXT,TEXT,TEXT,TEXT
id,chinese,english,traditional
langren3hide_lcuff,狼人左手的腕带,His Bracer seems to be his secret.,狼人左手的腕帶
langren3hide_rcuff,狼人右手的腕带,His Bracer seems to be his secret.,狼人右手的腕帶
piying5hide_lbody,三个秘密——右半身的秘密,Three secrets? One on his right Shadow?,三個秘密——右半身的秘密
piying5hide_rbody,三个秘密——左半身的秘密,Three secrets? One on his left Shadow?,三個秘密——左半身的秘密
piying5hide_head,三个秘密——头部神秘的眼罩,Three secrets? Could it in be his head?,三個秘密——頭部神秘的眼罩
huapo2hide_flower,空中漂浮的花瓣，隐藏着怎样的秘密？,Notice the Petal hovering around?,空中漂浮的花瓣，隱藏著怎樣的秘密？
zouyincao2hide_trumpet,疯狂舞动的喇叭,The secret is in its Crazy Trumpet.,瘋狂舞動的喇叭
wushi4hide_horn,舞狮头顶尖尖角,This shape looks like a horn?,舞獅頭頂尖尖角
wushi4hide_ball,舞狮看起来很喜欢他的球呢,It seems to love the Magic Ball.,舞獅看起來很喜歡他的球呢
xiyiren2hide_hand,蜥蜴人的小绿手,His Claw could a secret?,蜥蜴人的小綠手
xiyiren2hide_claw,锋利的爪子,Attack its Bracelet could be where its secret lies.,鋒利的爪子
panshen2hide_eye,口中的玫瑰，散发着迷人的香气,The rose in his mouth is emitting a strange scent.,口中的玫瑰，散發著迷人的香氣
shuigui3hide_box,船长脚边的宝箱好像有些奇怪！,Something interesting besides the captain.,船長腳邊的寶箱好像有些奇怪！
shuigui3hide_skull,船长的头顶已经失去了保护,The top of the pirate's head is no longer protected.,船長的頭頂已經失去了保護
shuigui3hide_bird,注意到船长头顶的乌鸦了么？,Notice there is a Crow on his head?,注意到船長頭頂的烏鴉了嗎？
kairuisi5hide_head,帽子下掩藏的头部会是他的弱点么？,This shape looks like her hood?,帽子下掩藏的頭部會是他的弱點嗎？
kairuisi5hide_weapon,手中挥舞的镰刀,How about her Sickle？,手中揮舞的鐮刀
longgongtongzi3hide_head,十分诡异的头部,Is this his head？,十分詭異的頭部
longgongtongzi3hide_ball,梦幻的水晶球,Looks like it's the Magical Ball,夢幻的水晶球
hetong2hide_head,河童的头？少了点什么…,What is missing on his head?,河童的頭？少了點什麼…
hetong2hide_scarf,河童身上也有秘密,Looks a secret on his body,河童身上也有秘密
xiaochou4normal1_head,弱点,Weakpoint,弱點
mantuoluo2normal1_root,根部是强大回血力量的源泉,Attack her root to stop Mandrake from healing herself.,根部是強大回血力量的源泉
langren3normal1_lcuff,腕带是狼人保护罩的支撑,Bracer provides strong defense.,腕帶是狼人保護罩的支撐
langren3normal1_rcuff,腕带是狼人保护罩的支撑,Bracer provides strong defense.,腕帶是狼人保護罩的支撐
piying5normal1_lbody,右半身能够压制我方物理攻击力,Right shadow cripples all physical attack. ,右半身能夠壓制我方物理攻擊力
piying5normal1_rbody,左半身能够压制我方法术攻击力,Left shadow cripples all magical attack.,左半身能夠壓制我方法術攻擊力
piying5normal1_head,皮影的软肋就在头部,His head is his weakest part!,皮影的軟肋就在頭部
huapo2normal1_flower,花魄高连击的永动机,The petal increases the Pixie's number of strikes.,花魄高連擊的永動機
zouyincao2normal1_trumpet,喇叭竟是它的弱点！,The Trumpet is where it's weakpoint lies.,喇叭竟牠的弱點！
wushi4normal1_horn,尖尖角竟是舞狮的弱点！,The Horn is where it's weakpoint lies.,尖尖角竟是舞獅的弱點！
wushi4normal1_ball,打破它的球！压制他的法术攻击！,This Magic Ball can increase the Lion's magical abilities.,打破它的球！壓制他的法術攻擊！
xiyiren2normal1_hand,蜥蜴人的薄弱所在,His Claw is his weakpoint.,蜥蜴人的薄弱所在
xiyiren2normal1_claw,干掉爪子！看看爪子下隐藏着怎样的黑手！,Destroy the Bracelet to reveal another secret.,幹掉爪子！看看爪子下隱藏著怎樣的黑手！
panshen2normal1_eye,攻击玫瑰会让潘神心碎,Let's break his heart by attacking the Rose.,攻擊玫瑰會讓潘神心碎
shuigui3normal1_box,击破宝箱，船长会丧失眩晕我方的能力,This Magic Chest Box can increase in Stunning Effect,擊破寶箱，船長會喪失眩暈我方的能力
siwangtashuigui3normal1_box,附加炸弹效果,Increases bomb effect,附加炸彈效果
shuigui3normal1_skull,船长的头顶，不堪一击….,The top of the pirate's head is quite vunerable…,船長的頭頂，不堪一擊….
shuigui3normal1_bird,乌鸦似乎在保护着什么…打掉它看看,The Crow could be protect his weakpoint.,烏鴉似乎在保護著什麼…打掉牠看看
kairuisi5normal1_head,凯瑞斯的软肋,This is her weakpoint.,凱瑞斯的軟肋
kairuisi5normal1_weapon,镰刀不仅提升法术攻击，还能够治疗凯瑞斯！,This Sickle increases her attack and healing power.,鐮刀不僅提升法術攻擊，還能夠治療凱瑞斯！
longgongtongzi3normal1_head,龙宫童子的头部十分脆弱,His head is his weakpoint.,龍宮童子的頭部十分脆弱
longgongtongzi3normal1_ball,水晶球是龙宫童子重生的魔力支撑,The Magic Ball has strong healing effect.,水晶球是龍宮童子重生的魔力支撐
hetong2normal1_head,看起来是个河童的破绽,This is his weakpoint,看起來是個河童的破綻
hetong2normal1_scarf,最好不要碰它,Don't touch it,最好不要碰它
bigTaskname201,富商的委托,Merchant's Task,富商的委託
bigTaskname202,公会的委托,Guild Task,公會的委託
bigTaskname301,收藏家的委托,Collector's Task,收藏家的委託
bigTaskname302,代行者的委托,Keeper's Task,代行者的委託
bigTaskname401,书商的委托,Bookseller's Task,書商的委託
bigTaskname402,会长的委托,Guild Leader's Task,會長的委託
bigTaskname501,神秘的委托,Mysterious Task,神秘的委託
bigTaskname502,来自异界的委托,Task From Mythos,來自異界的委託
bigTaskname601,神社的委托,Shrine's Task,神社的委託
bigTaskname602,雪之国的委托,Snow Kingdom's Task,雪之國的委託
bigTaskdesc1,（主产金币）,(Produces Coins),（主產金幣）
bigTaskdesc2,（主产补给品）,(Produces Supplies),（主產補給品）
smallTarget10001,提交5000金币,Retrieve 5000 Coins,提交5000金幣
smallTarget10002,提交6000金币,Retrieve 6000 Coins,提交6000金幣
smallTarget10003,提交7500金币,Retrieve 7500 Coins,提交7500金幣
smallTarget10004,提交9000金币,Retrieve 9000 Coins,提交9000金幣
smallTarget10005,提交10000金币,Retrieve 10000 Coins,提交10000金幣
smallTarget10006,提交10000金币,Retrieve 10000 Coins,提交10000金幣
smallTarget10007,提交11000金币,Retrieve 11000 Coins,提交11000金幣
smallTarget10008,提交12500金币,Retrieve 12500 Coins,提交12500金幣
smallTarget10009,提交13500金币,Retrieve 13500 Coins,提交13500金幣
smallTarget10010,提交15000金币,Retrieve 15000 Coins,提交15000金幣
smallTarget10011,提交15000金币,Retrieve 15000 Coins,提交15000金幣
smallTarget10012,提交16000金币,Retrieve 16000 Coins,提交16000金幣
smallTarget10013,提交17500金币,Retrieve 17500 Coins,提交17500金幣
smallTarget10014,提交19000金币,Retrieve 19000 Coins,提交19000金幣
smallTarget10015,提交20000金币,Retrieve 20000 Coins,提交20000金幣
smallTarget10016,提交17500金币,Retrieve 17500 Coins,提交17500金幣
smallTarget10017,提交20000金币,Retrieve 20000 Coins,提交20000金幣
smallTarget10018,提交22500金币,Retrieve 22500 Coins,提交22500金幣
smallTarget10019,提交25000金币,Retrieve 25000 Coins,提交25000金幣
smallTarget10020,提交22500金币,Retrieve 22500 Coins,提交22500金幣
smallTarget10021,提交25000金币,Retrieve 25000 Coins,提交25000金幣
smallTarget10022,提交27500金币,Retrieve 27500 Coins,提交27500金幣
smallTarget10023,提交30000金币,Retrieve 30000 Coins,提交30000金幣
smallTarget10024,提交32500金币,Retrieve 32500 Coins,提交32500金幣
smallTarget10025,提交35000金币,Retrieve 35000 Coins,提交35000金幣
smallTarget20001,提交1个天使之羽,Retrieve 1 of Angel's feather,提交1個天使之羽
smallTarget20002,提交2个天使之羽,Retrieve 2 of Angel's feather,提交2個天使之羽
smallTarget20003,提交1个恶魔之羽,Retrieve 1 of Demon's feather,提交1個惡魔之羽
smallTarget20004,提交2个恶魔之羽,Retrieve 2 of Demon's feather,提交2個惡魔之羽
smallTarget20005,提交1个精灵之羽,Retrieve 1 of Fairy's feather,提交1個精靈之羽
smallTarget20006,提交2个天使之羽,Retrieve 2 of Angel's feather,提交2個天使之羽
smallTarget20007,提交3个天使之羽,Retrieve 3 of Angel's feather,提交3個天使之羽
smallTarget20008,提交2个恶魔之羽,Retrieve 2 of Demon's feather,提交2個惡魔之羽
smallTarget20009,提交3个恶魔之羽,Retrieve 3 of Demon's feather,提交3個惡魔之羽
smallTarget20010,提交1个精灵之羽,Retrieve 1 of Fairy's feather,提交1個精靈之羽
smallTarget20011,提交2个精灵之羽,Retrieve 2 of Fairy's feather,提交2個精靈之羽
smallTarget20012,提交3个天使之羽,Retrieve 3 of Angel's feather,提交3個天使之羽
smallTarget20013,提交4个天使之羽,Retrieve 4 of Angel's feather,提交4個天使之羽
smallTarget20014,提交3个恶魔之羽,Retrieve 3 of Demon's feather,提交3個惡魔之羽
smallTarget20015,提交4个恶魔之羽,Retrieve 4 of Demon's feather,提交4個惡魔之羽
smallTarget20016,提交2个精灵之羽,Retrieve 2 of Fairy's feather,提交2個精靈之羽
smallTarget20017,提交3个精灵之羽,Retrieve 3 of Fairy's feather,提交3個精靈之羽
smallTarget20018,提交4个天使之羽,Retrieve 4 of Angel's feather,提交4個天使之羽
smallTarget20019,提交5个天使之羽,Retrieve 5 of Angel's feather,提交5個天使之羽
smallTarget20020,提交4个恶魔之羽,Retrieve 4 of Demon's feather,提交4個惡魔之羽
smallTarget20021,提交5个恶魔之羽,Retrieve 5 of Demon's feather,提交5個惡魔之羽
smallTarget20022,提交3个精灵之羽,Retrieve 3 of Fairy's feather,提交3個精靈之羽
smallTarget20023,提交8个天使之羽,Retrieve 8 of Fairy's feather,提交8個天使之羽
smallTarget20024,提交8个恶魔之羽,Retrieve 8 of Angel's feather,提交8個惡魔之羽
smallTarget20025,提交4个精灵之羽,Retrieve 4 of Demon's feather,提交4個精靈之羽
smallTarget20026,提交7个天使之羽,Retrieve 7 of Fairy's feather,提交7個天使之羽
smallTarget20027,提交7个恶魔之羽,Retrieve 7 of Angel's feather,提交7個惡魔之羽
smallTarget20028,提交3个精灵之羽,Retrieve 3 of Demon's feather,提交3個精靈之羽
smallTarget20029,提交6个天使之羽,Retrieve 6 of Fairy's feather,提交6個天使之羽
smallTarget20030,提交6个恶魔之羽,Retrieve 6 of Angel's feather,提交6個惡魔之羽
smallTarget30001,成功通关副本,Clear Stage,成功通關副本
taskDesc1,天使之羽洁白明亮,Angel Feathers are pure and bright,天使之羽潔白明亮
taskDesc2,恶魔之羽存在一生,Demon Feathers extinguish all life,惡魔之羽存在一生
taskDesc3,精灵之羽不错吧,Fairy Feathers are delicate and fine,精靈之羽不錯吧
taskDesc4,金币用处多,The uses of gold are many,金幣用處多
taskDesc5,成功之路,Victory path is the one to follow,成功之路
wpName71,树干,Trunk,樹幹
wpName72,精灵,Kodami,精靈
wpName73,左侧树洞,Left Branch,左側樹洞
wpName74,精灵,Kodami,精靈
wpName75,中间树洞,Middle Branch,中間樹洞
wpName76,精灵,Kodami,精靈
wpName77,右侧树洞,Right Branch,右側樹洞
muling2hide_hole1,试试搜索三个树洞,Try searching the Tree Branches.,試試搜尋三個樹洞
muling2hide_hole2,试试搜索三个树洞,Try searching the Tree Branches.,試試搜尋三個樹洞
muling2hide_hole3,试试搜索三个树洞,Try searching the Tree Branches.,試試搜尋三個樹洞
muling2normal1_child1,这个淘气的精灵控制着大树,The Kodami is controlling the Tree.,這個淘氣的精靈控制著大樹
muling2normal1_hole1,树洞里隐藏着什么呢？,What could be hiding under these tree branches?,樹洞裡隱藏著什麼呢？
muling2normal1_child2,这个淘气的精灵控制着大树,The Kodami is controlling the Tree.,這個淘氣的精靈控制著大樹
muling2normal1_hole2,树洞里隐藏着什么呢？,What could be hiding under these tree branches?,樹洞裡隱藏著什麼呢？
muling2normal1_child3,这个淘气的精灵控制着大树,The Kodami is controlling the Tree.,這個淘氣的精靈控制著大樹
muling2normal1_hole3,树洞里隐藏着什么呢？,What could be hiding under these tree branches?,樹洞裡隱藏著什麼呢？
adventure_conditions1,{0}只光属性宠物,{0} light type monsters,{0}只光屬性寵物
adventure_conditions2,{0}只木属性宠物,{0} grass type monsters,{0}只木屬性寵物
adventure_conditions3,{0}只水属性宠物,{0} water type monsters,{0}只水屬性寵物
adventure_conditions4,{0}只火属性宠物,{0} fire type monsters,{0}只火屬性寵物
adventure_conditions5,{0}只暗属性宠物,{0} dark type monsters,{0}只暗屬性寵物
adventure_conditions6,{0}只动物类宠物,{0} animal type monsters,{0}只動物類寵物
adventure_conditions7,{0}只人物类宠物,{0} human type monsters,{0}只人物類寵物
adventure_conditions8,{0}只特异类宠物,{0} peculiar type monsters,{0}只特異類寵物
adventure_conditions9,{0}只植物类宠物,{0} plant type monsters,{0}只植物類寵物
adventure_conditions10,{0}只神类宠物,{0} deity type monsters,{0}只神類寵物
adventure_conditions11,{0}只光属性动物类宠物,{0} light type animal monsters,{0}只光屬性動物類寵物
adventure_conditions12,{0}只光属性人物类宠物,{0} light type human monsters,{0}只光屬性人物類寵物
adventure_conditions13,{0}只光属性特异类宠物,{0} light type peculiar monsters,{0}只光屬性特異類寵物
adventure_conditions14,{0}只光属性植物类宠物,{0} light type plant monsters,{0}只光屬性植物類寵物
adventure_conditions15,{0}只光属性神类宠物,{0} light type deity monsters,{0}只光屬性神類寵物
adventure_conditions16,{0}只木属性动物类宠物,{0} grass type animal monsters,{0}只木屬性動物類寵物
adventure_conditions17,{0}只木属性人物类宠物,{0} grass type human monsters,{0}只木屬性人物類寵物
adventure_conditions18,{0}只木属性特异类宠物,{0} grass type peculiar monsters,{0}只木屬性特異類寵物
adventure_conditions19,{0}只木属性植物类宠物,{0} grass type plant monsters,{0}只木屬性植物類寵物
adventure_conditions20,{0}只木属性神类宠物,{0} grass type deity monsters,{0}只木屬性神類寵物
adventure_conditions21,{0}只水属性动物类宠物,{0} water type animal monsters,{0}只水屬性動物類寵物
adventure_conditions22,{0}只水属性人物类宠物,{0} water type human monsters,{0}只水屬性人物類寵物
adventure_conditions23,{0}只水属性特异类宠物,{0} water type peculiar monsters,{0}只水屬性特異類寵物
adventure_conditions24,{0}只水属性植物类宠物,{0} water type plant monsters,{0}只水屬性植物類寵物
adventure_conditions25,{0}只水属性神类宠物,{0} water type deity monsters,{0}只水屬性神類寵物
adventure_conditions26,{0}只火属性动物类宠物,{0} fire type animal monsters,{0}只火屬性動物類寵物
adventure_conditions27,{0}只火属性人物类宠物,{0} fire type human monsters,{0}只火屬性人物類寵物
adventure_conditions28,{0}只火属性特异类宠物,{0} fire type peculiar monsters,{0}只火屬性特異類寵物
adventure_conditions29,{0}只火属性植物类宠物,{0} fire type plant monsters,{0}只火屬性植物類寵物
adventure_conditions30,{0}只火属性神类宠物,{0} fire type deity monsters,{0}只火屬性神類寵物
adventure_conditions31,{0}只暗属性动物类宠物,{0} dark type animal monsters,{0}只暗屬性動物類寵物
adventure_conditions32,{0}只暗属性人物类宠物,{0} dark type human monsters,{0}只暗屬性人物類寵物
adventure_conditions33,{0}只暗属性特异类宠物,{0} dark type peculiar monsters,{0}只暗屬性特異類寵物
adventure_conditions34,{0}只暗属性植物类宠物,{0} dark type plant monsters,{0}只暗屬性植物類寵物
adventure_conditions35,{0}只暗属性神类宠物,{0} dark type deity monsters,{0}只暗屬性神類寵物
biaoti1001,小试身手,Show your Talent,小試身手
biaoti1002,乘胜追击,Pursuit of Victory,乘勝追擊
biaoti1003,卖萌蘑菇,Cute Mushroom,賣萌蘑菇
biaoti1004,中BOSS罢了,An Elite Boss,中BOSS罷了
biaoti1005,满月狼人,Full Moon Werewolf,滿月狼人
biaoti1006,摇滚歌手,Rock Singer,搖滾歌手
biaoti1007,忍者神龟,Turtle Ninja,忍者神龜
biaoti1008,突破大街,Street Break Out,突破大街
biaoti1009,新的挑战,A New Challenge,新的挑戰
biaoti1010,蜥蜴之王,Lizard King,蜥蜴之王
biaoti1011,花痴潘神,Romantic Pans,花癡潘神
biaoti1012,骷髅船长,Captain Skeleton,骷髏船長
biaoti1013,冥界使者,Death Messenger,冥界使者
biaoti1014,龙族公子,Prince of Ryuku,龍族公子
biaoti1015,善良河童,Not Naughty Kappa,善良河童
biaoti1016,暴躁木灵,Tough Kodama,暴躁木靈
biaoti1017,肉食动物,Carnivorous,肉食動物
biaoti1018,龙族公主,Dragon Princess,龍族公主
biaoti1019,剧毒蜘蛛,Poisonous Spider,劇毒蜘蛛
biaoti1020,埃及长老,Egyptian Crocodile,埃及長老
biaoti1021,绿瞳小丑,Green Eyed Joker,綠瞳小丑
biaoti1022,家园卫士,Home Protector,家園衛士
biaoti1023,鸟身女妖,Birdwoman,鳥身女妖
biaoti1024,蛇发女妖,Hair of Snakes,蛇發女妖
biaoti1025,斗牛士,Bull Matador,鬥牛士
biaoti1026,相思成病,Love Sick,相思成病
biaoti1027,赤色天空,Blazing Skies,赤色天空
biaoti1028,天狗啸天,Roar from the Sky,天狗嘯天
biaoti1029,地狱之犬,Hound of Hades,地獄之犬
biaoti1030,四翼天使,Four Winged Angel,四翼天使
biaoti1031,地狱使者,Inferno Messenger,地獄使者
biaoti1032,神级制造师,God of Craft,神級製造師
biaoti1033,潜心修炼,Deep Meditation,潛心修煉
biaoti1034,暗夜猎手,Night Hunter,暗夜獵手
biaoti1035,痛苦之源,Source of Pain,痛苦之源
biaoti1036,蓝瞳小丑,Blue Eyed Joker,藍瞳小丑
biaoti1037,重塑大师,Morphing Master,重塑大師
biaoti1038,星辰射手,Archer of Skies,星辰射手
biaoti1039,蓝色火焰,Blue Flame,藍色火焰
biaoti1040,肉食动物,Carnivorous,肉食動物
biaoti1041,冰霜领主,Frosthold Master,冰霜領主
biaoti1042,小有成就,A Great achievement,小有成就
biaoti1043,珍稀物种,Rare Species,珍稀物種
biaoti1044,致命诱惑,Lethal Temptation,致命誘惑
biaoti1045,地狱使者,Inferno Messenger,地獄使者
biaoti1046,暗黑法师,Dark Witch,暗黑法師
biaoti1047,黑白两面,Good or Evil,黑白兩面
biaoti1048,地狱之犬,Inferno Pet,地獄之犬
biaoti1049,月之女神,Goddess of Moon,月之女神
biaoti1050,幻影利刃,Phantom Blade,幻影利刃
biaoti1051,精英选手,A Real Achievement,精英選手
biaoti1052,天使面具,Masked Angel,天使面具
biaoti1053,咒怨女妖,Furious Banshee,咒怨女妖
biaoti1054,恐怖蜘蛛,Twisted Spider,恐怖蜘蛛
biaoti1055,皮影兄弟,Absorbing Puppet,皮影兄弟
biaoti1056,突破自我,Super Breakthrough,突破自我
biaoti1057,圣洁之星,Purified Archer,聖潔之星
biaoti1058,轻盈木棉,Light but Powerful,輕盈木棉
biaoti1059,真龙血统,Dragon's Heritage,真龍血統
biaoti1060,精灵王子,Prince from the Forest,精靈王子
biaoti1061,小有成就,Excellent Achievement,小有成就
biaoti1062,木守护兽,Element Guardian (Grass),木守護獸
biaoti1063,火守护兽,Element Guardian (Fire),火守護獸
biaoti1064,水守护兽,Element Guardian (Water),水守護獸
biaoti1065,暗守护兽,Element Guardian (Dark),暗守護獸
biaoti1066,非凡挑战,Almost there,非凡挑戰
biaoti1067,光守护兽,Element Guardian (Light),光守護獸
biaoti1068,懒惰君主,King of Sloth,懶惰君主
biaoti1069,暴怒君主,King of Wrath,暴怒君主
biaoti1070,时间领主,Master of Time,時間領主
biaoti1071,极限挑战,Extreme Challenge,極限挑戰
biaoti2001,花小仙子,Love of Flower,花小仙子
biaoti2002,你需要治愈,Healer you need,你需要治癒
biaoti2003,药不能停,The Power of Essence,藥不能停
biaoti2004,技巧的磨砺,Sharpen Your Abilities,技巧的磨礪
biaoti2005,穿戴装备,Suit Up!,穿戴裝備
biaoti2006,狼人随从,Team up with Werewolf,狼人隨從
biaoti2007,训宠大师,Monster Trainer,訓寵大師
biaoti2008,衣能遮体,Getting Stronger,衣能遮體
biaoti5009,完美通关,Perfect Victory,完美通關
biaoti2010,打磨装备,Stronger Equipment,打磨裝備
biaoti2011,日常修炼,Daily Task,日常修煉
biaoti2012,重复训练,Keep Training,重複訓練
biaoti2013,夜以继日,Day In Day Out,夜以繼日
biaoti2014,锻炼宠物,Train Your Monsters,鍛煉寵物
biaoti2015,完成愿望树,Make a Wish,完成願望樹
biaoti2016,竞技生涯,Career in Competition,競技生涯
biaoti2017,宠物成长,Grow your monsters,寵物成長
biaoti2018,训宠大神,Master Trainer,訓寵大神
biaoti2019,精通饲养,Master Raiser,精通飼養
biaoti2020,魔鬼训练,Superb Trainer,魔鬼訓練
biaoti2021,独当一面,Whiplash Trainer,獨當一面
biaoti2022,精英宠物,Elite monster,精英寵物
biaoti2023,强力宠物,Elite Monster,強力寵物
biaoti2024,精英小队,Elite Squad,精英小隊
biaoti2025,高阶宠物,Advanced Monster,高階寵物
biaoti2026,训宠达人,Advanced Trainer,訓寵達人
biaoti2027,近乎完美,Almost Perfect,近乎完美
biaoti3001,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3002,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3003,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3004,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3005,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3006,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3007,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3008,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3009,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3010,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3011,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3012,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3013,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3014,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3015,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3016,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3017,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3018,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3019,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3020,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3021,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3022,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3023,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3024,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3025,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3026,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3027,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3028,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3029,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3030,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3031,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3032,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3033,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3034,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3035,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3036,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3037,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3038,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3039,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3040,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3041,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3042,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3043,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3044,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3045,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3046,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3047,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti3048,迎接挑战,Rise to the Occasion,迎接挑戰
biaoti4001,装备提升,Stronger Equipment,裝備提升
biaoti4002,华丽装扮,Get Really Strong,華麗裝扮
biaoti4003,反复打磨,Quick Completion,反復打磨
biaoti4004,质的飞跃,Leap of Quality,質的飛躍
biaoti4005,熟练打造,Master Caster,熟練打造
biaoti4006,稀有装备,A Rare Equipment,稀有裝備
biaoti4007,装备开孔,Open Slot,裝備開孔
biaoti4008,初识镶嵌,Amateur Insignia Attach,初識鑲嵌
biaoti4009,精通打造,Immediate Equipment Forger,精通打造
biaoti4010,反复开孔,Immediate Slot Opener,反復開孔
biaoti4011,熟练打造,Master Caster,熟練打造
biaoti4012,高阶装备,Elite Equipment Forger,高階裝備
biaoti4013,纹章融合I,Insignia Crafter I,紋章融合I
biaoti4014,打造大师,Advanced Forger,打造大師
biaoti4015,纹章融合II,Insignia Crafter II,紋章融合II
biaoti4016,高级纹章,Master Insignia Attach,高級紋章
